Starting Word,Step Count
AAHS,114.8
AALS,125.6
ABAC,123.0
ABAS,110.0
ABBA,100.0
ABBE,131.8
ABBS,115.0
ABED,105.6
ABER,117.2
ABET,102.4
ABID,115.8
ABLE,141.4
ABLY,52.2
ABRI,162.8
ABUT,77.6
ABYE,101.4
ABYS,97.0
ACAI,156.8
ACCA,110.0
ACED,133.2
ACER,112.6
ACES,159.2
ACHE,108.8
ACHY,111.2
ACID,114.2
ACME,141.2
ACNE,158.0
ACRE,109.4
ACRO,109.6
ACTA,107.2
ACTS,97.6
ACYL,123.6
ADAW,149.2
ADDS,96.0
ADDY,137.4
ADIT,42.8
ADOS,104.2
ADRY,87.0
ADZE,52.0
AEON,14.8
AERO,82.4
AERY,0.0
AESC,107.4
AFAR,125.8
AFFY,106.4
AFRO,83.4
AGAR,92.4
AGAS,85.6
AGED,160.8
AGEE,183.6
AGEN,125.8
AGER,114.0
AGES,129.2
AGGY,61.4
AGHA,135.6
AGIN,95.0
AGIO,83.2
AGLU,123.4
AGLY,62.4
AGMA,138.2
AGOG,100.4
AGON,132.6
AGRO,113.2
AGUE,29.2
AHED,79.2
AHEM,57.8
AHIS,156.6
AHOY,141.6
AIAS,33.2
AIDA,70.6
AIDE,61.2
AIDS,96.4
AIGA,115.0
AILS,0.0
AIMS,19.0
AINE,0.0
AINS,24.4
AIRN,68.0
AIRS,59.6
AIRT,66.2
AIRY,0.0
AITS,53.0
AITU,0.0
AJAR,109.8
AJEE,69.0
AJIS,99.0
AKAS,83.2
AKED,85.6
AKEE,132.8
AKES,110.0
AKIN,129.4
ALAE,126.2
ALAN,115.6
ALAP,78.4
ALAR,93.4
ALAS,76.0
ALAY,155.6
ALBA,113.0
ALBE,101.8
ALBS,129.4
ALCO,101.8
ALEC,147.4
ALEE,127.6
ALEF,94.2
ALES,95.4
ALEW,110.8
ALFA,110.0
ALGA,84.2
ALGO,82.4
ALIF,61.2
ALIT,112.2
ALKO,137.0
ALKY,123.8
ALLS,109.4
ALLY,46.0
ALMA,101.8
ALME,131.4
ALMS,82.6
ALOD,102.4
ALOE,152.8
ALOO,65.0
ALOW,93.8
ALPS,101.4
ALSO,89.4
ALTO,109.8
ALTS,111.2
ALUM,85.0
ALUS,98.2
AMAH,123.6
AMAS,99.8
AMBO,121.4
AMEN,124.6
AMES,121.8
AMIA,88.0
AMID,146.8
AMIE,78.4
AMIN,129.4
AMIR,126.8
AMIS,101.0
AMLA,116.2
AMMO,111.0
AMOK,142.6
AMPS,136.6
AMUS,96.4
AMYL,111.4
ANAL,125.0
ANAN,83.4
ANAS,124.6
ANCE,147.2
ANDS,134.8
ANES,120.8
ANEW,148.0
ANGA,79.2
ANIL,166.6
ANIS,107.8
ANKH,101.0
ANNA,101.0
ANNO,61.4
ANNS,63.2
ANOA,101.0
ANON,65.2
ANOW,146.2
ANSA,131.6
ANTA,102.4
ANTE,103.8
ANTI,163.0
ANTS,94.2
ANUS,151.4
APAY,112.0
APED,82.6
APER,117.4
APES,103.4
APEX,0.0
APOD,133.2
APOS,85.8
APPS,123.4
APSE,77.6
APSO,105.4
APTS,61.6
AQUA,0.0
ARAK,105.2
ARAR,95.0
ARBA,113.0
ARBS,82.4
ARCH,124.2
ARCO,129.4
ARCS,101.4
ARDS,177.0
AREA,68.4
ARED,106.0
AREG,124.6
ARES,101.6
ARET,99.8
AREW,77.8
ARFS,101.4
ARGH,130.2
ARIA,119.6
ARID,86.0
ARIE,136.8
ARIL,151.0
ARIS,97.6
ARKS,114.0
ARLE,158.6
ARMS,166.6
ARMY,0.0
ARNA,102.2
AROS,125.2
AROW,100.4
ARPA,106.4
ARSE,105.4
ARSY,97.0
ARTI,130.4
ARTS,110.4
ARTY,100.6
ARUM,102.0
ARVO,62.4
ARYL,138.0
ASAR,117.8
ASCI,107.6
ASEA,82.6
ASHY,46.6
ASKS,73.0
ASPS,136.2
ATAP,125.8
ATES,85.0
ATMA,121.0
ATOC,118.8
ATOK,106.2
ATOM,121.2
ATOP,112.2
ATUA,84.2
AUAS,15.8
AUFS,0.0
AUGH,66.8
AUKS,47.0
AULA,0.0
AULD,24.2
AUNE,0.0
AUNT,84.2
AURA,0.0
AUTO,0.0
AVAL,129.6
AVAS,122.6
AVEL,99.4
AVER,34.2
AVES,99.2
AVID,115.0
AVIS,95.6
AVOS,107.8
AVOW,168.0
AWAY,137.4
AWDL,99.4
AWED,152.0
AWEE,107.6
AWES,105.0
AWFY,86.0
AWKS,116.4
AWLS,111.8
AWNS,97.0
AWNY,40.8
AWOL,97.4
AWRY,0.0
AXAL,0.0
AXED,0.0
AXEL,0.0
AXES,0.0
AXIL,0.0
AXIS,0.0
AXLE,0.0
AXON,0.0
AYAH,94.4
AYES,123.8
AYIN,45.4
AYRE,57.8
AYUS,86.4
AZAN,128.0
AZON,26.8
AZYM,33.0
BAAL,84.6
BAAS,116.2
BABA,103.6
BABE,108.2
BABU,144.0
BABY,80.2
BACH,35.2
BACK,72.6
BACS,108.0
BADE,121.6
BADS,81.4
BAEL,131.4
BAES,81.0
BAFF,131.2
BAFT,74.8
BAGH,121.8
BAGS,115.4
BAHT,127.8
BAHU,104.2
BAIL,31.4
BAIT,66.4
BAJU,73.4
BAKE,139.8
BALD,84.2
BALE,110.0
BALK,105.8
BALL,36.6
BALM,54.6
BALS,93.8
BALU,92.6
BAMS,112.0
BANC,61.0
BAND,97.2
BANE,119.2
BANG,89.0
BANI,92.0
BANK,88.4
BANS,25.6
BANT,155.6
BAOS,116.4
BAPS,112.0
BAPU,85.4
BARB,151.0
BARD,94.2
BARE,104.8
BARF,67.4
BARK,130.0
BARM,54.6
BARN,53.2
BARP,91.2
BARS,54.6
BASA,84.6
BASE,115.6
BASH,97.8
BASK,77.4
BASS,127.6
BAST,116.6
BATE,77.6
BATH,77.2
BATS,110.8
BATT,128.8
BAUD,87.4
BAUK,99.2
BAUR,113.6
BAWD,55.2
BAWK,74.0
BAWL,74.8
BAWN,88.8
BAWR,74.4
BAWS,106.0
BAYE,150.0
