Grid Row 1,Grid Row 2,Grid Row 3,Grid Row 4,Counter Values
AAHS,WHEE,DOPS,LYTE,202,89,96,17
AALS,BRUT,BIDI,SLEE,103,15,2,86
ABAC,BUDA,ADDS,CASK,115,17,7,91
ABAS,ARGH,HAME,SWAN,114,1,45,68
ABBA,LOOR,ANNS,YEDE,92,12,53,27
ABBE,BRAE,BAUR,SPRY,138,18,38,82
ABBS,LAIK,KUFI,ORFS,152,8,55,89
ABED,LOBO,ENOL,EYNE,238,66,94,78
ABER,COCA,ROUT,OSSA,112,11,72,29
ABET,DORE,AMEN,WADD,132,6,36,90
ABID,REDE,EMOS,WALI,239,83,87,69
ABLE,ROAR,PONG,ARDS,73,12,39,22
ABLY,RAYA,CRAP,HEMS,130,62,7,61
ABRI,LAUD,AKEE,SESE,137,41,20,76
ABUT,YARE,URIC,SECS,194,70,95,29
ABYE,NEON,TARE,SUKS,55,18,10,27
ABYS,SAME,KYPE,STEN,162,71,83,8
ACAI,LARS,CRIM,OBES,100,90,9,1
ACCA,CEIL,EDDO,REED,100,9,83,8
ACED,RAKI,CREM,HESP,79,3,3,73
ACER,LOTO,ANAN,SITZ,73,15,39,19
ACES,LEME,AREA,NESS,144,3,96,45
ACHE,BRIM,EELY,REIS,212,27,94,91
ACID,RIDE,OLLA,SLED,134,3,62,69
ACME,CLOY,RAPE,OWER,124,8,45,71
ACNE,VAIN,AUNE,SLEW,61,23,8,30
ACRE,BREY,BONE,SNOD,153,11,85,57
ACRO,GRAD,HOKA,AGES,204,31,91,82
ACTA,CHIC,MALE,ESES,89,14,62,13
ACTS,PLAT,TAXI,SNAR,100,52,7,41
ACYL,WHEE,OOTS,LUIT,130,87,25,18
ADAW,TELA,OAST,PLOT,125,75,19,31
ADDS,BOOT,ARBA,SEER,89,8,59,22
ADIT,BURY,BRIG,SODS,105,6,92,7
ADOS,TONK,MUTI,AROS,169,16,68,85
ADZE,TEIL,AMLA,PEAN,200,99,49,52
AEON,RYPE,ARES,RENS,179,58,80,41
AERY,PLEW,SADI,ONOS,214,82,70,62
AESC,LAKE,USES,MEGS,145,18,97,30
AFAR,NALA,TITS,SNOT,102,10,32,60
AFFY,LIRA,ODOR,DOEN,149,62,22,65
AFRO,SEAL,EDGE,ASEA,183,33,53,97
AGAR,BENE,ANNA,STAR,70,1,42,27
AGAS,PAGE,SEAT,OSSA,127,11,20,96
AGED,LARE,ANNA,EKED,93,21,17,55
AGEE,HEIL,ERKS,MESE,155,93,47,15
AGEN,NARE,ERNE,STEP,182,33,72,77
AGER,PESO,ONER,DUST,140,20,33,87
AGES,ROST,BONE,ALEW,35,8,10,17
AGGY,FILO,AGER,RAIK,159,85,55,19
AGHA,CRON,MERC,EYNE,26,10,10,6
AGIN,RALE,IRES,LIAS,128,32,6,90
AGIO,NONA,CUCK,ETHS,128,36,2,90
AGLU,POOK,SAFE,EFTS,160,47,91,22
AGMA,LEAM,MALE,ALAS,90,7,49,34
AGOG,COLA,TREE,SPOD,192,16,77,99
AGON,LYME,ETAS,WEST,26,4,5,17
AGRO,COOP,CACA,ASKS,124,4,26,94
AGUE,GAMA,EMPT,SESS,194,24,98,72
AHED,LOTI,TRES,SENS,131,73,9,49
AHEM,LUNE,OLEA,WAST,142,18,65,59
AHIS,GARI,URES,ELDS,49,7,16,26
AHOY,NAPE,IRES,SENT,138,44,32,62
AIDS,SNOW,AFRO,ROMP,100,26,4,70
AIGA,IRES,TINK,USES,203,19,90,94
AINE,CRIM,ROTO,ENES,50,12,9,29
AIRN,IDEA,TETE,SESS,196,72,76,48
AITS,IKON,DATO,ANEW,80,34,14,32
AJAR,NAGA,ACED,SKEE,161,74,36,51
AJEE,WAGS,ENES,SERE,176,1,90,85
AJIS,GUDE,UREA,EYEN,73,15,35,23
AKAS,MALI,AGEN,HUCK,96,4,1,91
AKED,LOTA,KLAP,OATS,152,3,52,97
AKEE,MAPS,IRES,SKEE,92,26,4,62
AKES,VASA,OPTS,SASH,134,10,52,72
AKIN,NARE,TRIP,SOSS,63,12,43,8
ALAE,LOCI,STED,OOSE,139,8,47,84
ALAN,GORA,MUMP,APSE,95,33,47,15
ALAP,LULU,ANON,YEET,115,14,6,95
ALAR,KORO,AKIN,SELE,43,14,18,11
ALAS,EINA,SNIT,COLE,89,4,50,35
ALAY,DOLE,ATAP,WAES,185,24,96,65
ALBA,KILL,ALEE,SOBS,69,17,10,42
ALBE,REAN,BING,ARKS,60,8,35,17
ALBS,LEEP,CADE,ONST,140,40,26,74
ALCO,VEIN,ANTE,LOOR,118,17,69,32
ALEC,LIMO,AMIR,NERF,107,24,77,6
ALEE,SAMA,AMPS,RATE,134,43,52,39
ALEF,MIME,ADIT,SOCA,71,4,23,44
ALES,MOUE,BURG,ONOS,135,22,32,81
ALEW,RATU,ERED,SENS,165,5,81,79
ALFA,MEAD,PARA,STEW,165,18,65,82
ALGA,DULL,INIA,TSAR,131,10,31,90
ALGO,GOAL,ABID,RODS,91,26,48,17
ALIF,NOSE,NONG,OPAS,106,19,66,21
ALIT,LUTE,BLEW,ELMS,117,7,18,92
ALKO,ROUX,KITE,SNAR,145,16,76,53
ALKY,CONE,EBON,DEPS,126,83,6,37
ALLS,GAOL,ORDO,GIST,193,57,84,52
ALLY,VIAE,ILIA,SOCS,110,30,14,66
ALMA,REAM,BYRE,ASKS,155,7,57,91
ALME,GOOK,ACNE,SOYS,161,4,86,71
ALMS,DOAT,OUMA,SPAR,44,4,32,8
ALOD,NOLO,TALL,ANAS,107,32,16,59
ALOE,PERN,SALE,EMES,81,14,17,50
ALOW,LUDO,AXON,YERK,111,12,3,96
ALPS,POUT,SONE,ETAT,173,30,90,53
ALSO,MEEK,ODEA,KEDS,136,5,35,96
ALTO,LEYS,GARE,ODES,121,52,10,59
ALTS,MIRI,LEAM,ADDS,125,9,31,85
ALUM,MANO,AMIS,HAST,124,31,38,55
ALUS,LOTO,IWIS,FESS,69,8,51,10
AMAH,DIVO,OMER,SERK,64,3,36,25
AMAS,NONI,TOTE,SKIN,45,1,35,9
AMBO,ROLL,YAUP,LIRE,103,13,34,56
AMEN,MORE,LEND,ARES,129,38,41,50
AMES,RALE,ORAL,SEND,142,6,60,76
AMIA,MOKI,ETAT,NETS,103,34,45,24
AMID,RODE,TOOM,IDLE,168,4,83,81
AMIE,REKE,CROC,SINH,238,65,82,91
AMIN,DIDO,AROW,WILT,136,22,29,85
AMIR,MINI,UNIT,SKAS,200,14,92,94
AMIS,GAMP,AMIA,SADE,42,12,12,18
AMLA,NOUL,OWRE,WAES,97,13,26,58
AMMO,POAS,TOSS,SKUA,87,4,61,22
AMOK,NORI,KLAP,HADS,101,3,25,73
AMPS,COOL,RUDE,ESSE,93,7,81,5
AMUS,RULE,OSAR,SENA,189,63,54,72
ANAL,GARE,EINA,SLAM,130,36,73,21
ANAN,LOGE,LOMA,SNAP,44,2,22,20
ANAS,PAST,PICE,SKIT,111,4,55,52
ANCE,PIES,SERE,ODES,83,17,63,3
ANDS,NOAH,AMMO,SESE,149,48,37,64
ANES,CODA,TWIG,ALTO,72,17,4,51
ANEW,LOCO,SOCA,OPED,73,4,48,21
ANGA,BOLA,BOOL,ABBS,85,10,68,7
ANIL,TONE,ANTA,PION,54,7,24,23
ANIS,TIDE,ATOM,PELE,237,57,89,91
ANKH,DENI,REAP,YMPT,90,45,7,38
ANNA,NEAR,NANO,AROS,70,2,20,48
ANNO,PEAG,TONE,SNEE,126,42,1,83
ANNS,NOOP,TELE,SLOW,136,31,42,63
ANOA,JOLL,AMIE,RADS,136,4,55,77
ANON,LARI,TICE,SKAS,232,84,94,54
ANOW,RONA,DREW,SIRS,267,86,92,89
ANSA,LOPS,KNAP,OARS,122,1,79,42
ANTA,MOWN,MIEN,OLEA,155,9,63,83
ANTE,GOOL,EMPT,REHS,178,35,98,45
ANTI,TEAM,MUNI,AKED,91,13,77,1
ANTS,COON,TIKI,SLOP,167,50,31,86
ANUS,LERE,MUDS,AKES,60,16,18,26
APAY,VARE,ALEE,LEAT,39,11,18,10
APED,BRAY,YERK,SELE,151,21,76,54
APER,CIDE,REGO,ODES,67,1,59,7
APES,MAYA,ODES,KINS,166,8,91,67
APOD,BENE,EKES,DESI,140,37,77,26
APOS,PORK,SOLE,EHED,81,5,10,66
APPS,GLEN,AULA,REAP,110,20,60,30
APSE,TOEY,OLEA,POMS,61,16,2,43
APSO,NIED,OKAY,NIRL,104,5,16,83
APTS,PUHA,SPAW,OSES,98,1,16,81
ARAK,MABE,OGLE,KEEK,103,2,47,54
ARAR,KORO,EMOS,EASY,168,5,72,91
ARBA,JILL,ASEA,REDS,117,3,42,72
ARBS,VALE,OKAY,WEDS,37,19,16,2
ARCH,RAIA,GREE,HELM,104,20,9,75
ARCO,LOOS,FAME,AMAS,144,42,34,68
ARCS,ROOP,MOKO,STET,56,4,10,42
ARDS,BOOK,LIRA,ENEW,91,1,35,55
AREA,MARK,OLEA,KEDS,148,20,33,95
ARED,DOPA,ONOS,SASH,17,4,7,6
AREG,LUDO,ANGA,SEED,165,41,49,75
ARES,LUST,ANSA,STEY,131,19,65,47
ARET,RALE,OCHE,SEIK,129,12,71,46
AREW,SATE,PRAD,SETS,131,39,72,20
ARFS,MEET,LATI,ARSE,169,15,56,98
ARGH,GORI,ETEN,RAND,203,99,44,60
ARIA,WADI,EKED,SIMA,186,70,40,76
ARID,PONE,ERKS,DESK,145,26,68,51
ARIE,LILY,ALEE,SEAR,171,93,72,6
ARIL,BEDU,AGEE,SOSS,84,10,3,71
ARIS,PONE,ERKS,DEYS,111,65,5,41
ARKS,RENO,MEER,SKET,168,51,65,52
ARLE,LAIN,PINT,SADS,227,76,53,98
ARMS,VOAR,ANTI,SAYS,183,6,82,95
ARMY,WHOA,NEED,SARS,149,41,91,17
ARNA,YEAD,RIND,ENES,171,13,62,96
AROS,NESH,APSE,SPAS,153,42,81,30
AROW,MOSE,MUSE,OMAS,69,1,21,47
ARPA,LOOM,GOOP,ANDS,71,2,30,39
ARSE,NALA,AGEN,LAYS,171,24,97,50
ARSY,KALE,ILIA,NETS,107,26,75,6
ARTI,VEER,AINE,SNED,143,8,50,85
ARTS,BOEP,ANGA,CAGE,100,40,34,26
ARTY,GARI,EBON,DITS,169,31,45,93
ARUM,METE,ATES,SESS,101,78,20,3
ARVO,TIER,ABET,PAPS,109,11,11,87
ASAR,UNBE,NOUN,EWTS,131,8,66,57
ASCI,SLOT,PUNA,SENS,150,1,88,61
