Starting Word,Solutions Count
AAHS,3
AALS,2
ABAC,5
ABAS,17
ABBA,6
ABBE,8
ABBS,13
ABED,8
ABER,5
ABET,6
ABID,3
ABLE,5
ABLY,0
ABRI,5
ABUT,3
ABYE,1
ABYS,1
ACAI,2
ACCA,5
ACED,2
ACER,7
ACES,2
ACHE,1
ACHY,0
ACID,2
ACME,12
ACNE,4
ACRE,6
ACRO,2
ACTA,9
ACTS,11
ACYL,0
ADAW,5
ADDS,7
ADDY,5
ADIT,3
ADOS,2
ADRY,0
ADZE,2
AEON,2
AERO,0
AERY,0
AESC,1
AFAR,12
AFFY,1
AFRO,1
AGAR,3
AGAS,20
AGED,11
AGEE,2
AGEN,1
AGER,10
AGES,5
AGGY,0
AGHA,3
AGIN,1
AGIO,1
AGLU,6
AGLY,1
AGMA,10
AGOG,3
AGON,3
AGRO,6
AGUE,0
AHED,7
AHEM,5
AHIS,4
AHOY,2
AIAS,0
AIDA,0
AIDE,0
AIDS,1
AIGA,0
AILS,1
AIMS,0
AINE,0
AINS,0
AIRN,0
AIRS,0
AIRT,0
AIRY,0
AITS,0
AITU,0
AJAR,1
AJEE,1
AJIS,3
AKAS,6
AKED,4
AKEE,1
AKES,6
AKIN,2
ALAE,6
ALAN,17
ALAP,19
ALAR,6
ALAS,15
ALAY,4
ALBA,5
ALBE,5
ALBS,11
ALCO,5
ALEC,2
ALEE,2
ALEF,3
ALES,2
ALEW,3
ALFA,4
ALGA,8
ALGO,7
ALIF,3
ALIT,3
ALKO,6
ALKY,1
ALLS,8
ALLY,0
ALMA,7
ALME,5
ALMS,1
ALOD,4
ALOE,3
ALOO,2
ALOW,6
ALPS,6
ALSO,2
ALTO,7
ALTS,10
ALUM,0
ALUS,3
AMAH,9
AMAS,17
AMBO,6
AMEN,3
AMES,4
AMIA,2
AMID,3
AMIE,1
AMIN,3
AMIR,1
AMIS,4
AMLA,8
AMMO,4
AMOK,3
AMPS,16
AMUS,4
AMYL,4
ANAL,4
ANAN,8
ANAS,3
ANCE,6
ANDS,4
ANES,7
ANEW,4
ANGA,1
ANIL,1
ANIS,3
ANKH,1
ANNA,0
ANNO,1
ANNS,3
ANOA,2
ANON,5
ANOW,1
ANSA,6
ANTA,2
ANTE,4
ANTI,3
ANTS,9
ANUS,3
APAY,5
APED,7
APER,1
APES,6
APEX,0
APOD,10
APOS,10
APPS,6
APSE,11
APSO,11
APTS,2
AQUA,1
ARAK,1
ARAR,11
ARBA,7
ARBS,12
ARCH,1
ARCO,2
ARCS,4
ARDS,5
AREA,2
ARED,4
AREG,6
ARES,7
ARET,8
AREW,5
ARFS,5
ARGH,3
ARIA,5
ARID,1
ARIE,0
ARIL,1
ARIS,4
ARKS,1
ARLE,9
ARMS,2
ARMY,0
ARNA,3
AROS,8
AROW,5
ARPA,15
ARSE,7
ARSY,1
ARTI,2
ARTS,6
ARTY,1
ARUM,5
ARVO,0
ARYL,1
ASAR,15
ASCI,2
ASEA,2
ASHY,2
ASKS,4
ASPS,16
ATAP,11
ATES,6
ATMA,6
ATOC,2
ATOK,8
ATOM,1
ATOP,9
ATUA,0
AUAS,0
AUFS,0
AUGH,0
AUKS,0
AULA,0
AULD,2
AUNE,0
AUNT,0
AURA,0
AUTO,0
AVAL,10
AVAS,10
AVEL,0
AVER,9
AVES,3
AVID,0
AVIS,0
AVOS,1
AVOW,3
AWAY,1
AWDL,0
AWED,2
AWEE,0
AWES,5
AWFY,2
AWKS,1
AWLS,2
AWNS,2
AWNY,0
AWOL,4
AWRY,0
AXAL,0
AXED,0
AXEL,0
AXES,0
AXIL,0
AXIS,0
AXLE,0
AXON,0
AYAH,3
AYES,1
AYIN,0
AYRE,1
AYUS,0
AZAN,1
AZON,0
AZYM,0
BAAL,10
BAAS,1
BABA,4
BABE,6
BABU,3
BABY,2
BACH,3
BACK,1
BACS,2
BADE,3
BADS,5
BAEL,4
BAES,1
BAFF,2
BAFT,1
BAGH,6
BAGS,3
BAHT,15
BAHU,4
BAIL,1
BAIT,1
BAJU,0
BAKE,5
BALD,25
BALE,1
BALK,0
BALL,7
BALM,0
BALS,0
BALU,2
BAMS,1
BANC,1
BAND,0
BANE,1
BANG,0
BANI,0
BANK,0
BANS,1
BANT,0
BAOS,6
BAPS,2
BAPU,6
BARB,2
BARD,14
BARE,4
BARF,0
BARK,1
BARM,11
BARN,4
BARP,0
BARS,2
BASA,10
BASE,2
BASH,10
BASK,3
BASS,7
BAST,15
BATE,21
BATH,0
BATS,8
BATT,8
BAUD,2
BAUK,1
BAUR,1
BAWD,9
BAWK,1
BAWL,0
BAWN,4
BAWR,1
BAWS,8
BAYE,5
BAYS,3
BAYT,1
